DESCRIPTION,PARKING_ZONE,PERMIT_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,Global_ID
R5170,KK,KK,Parallel,Active,900 Block 68 AV SW,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0816236 50.9922919, -114.0818101 50.9922924, -114.0820652 50.9922919, -114.0822011 50.992292))",6ccee4db-8938-498e-bb82-11c8009d86c0
R5211,SS,SS,Parallel,Active,3700 BLOCK 25 AV NE,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NE,"MULTILINESTRING ((-113.9788496 51.0757193, -113.9788709 51.0757222, -113.9789145 51.075728, -113.9789787 51.0757348, -113.979038 51.0757402, -113.9790884 51.0757453, -113.9791741 51.0757507, -113.9792498 51.0757553, -113.9793509 51.0757584, -113.9794702 51.0757593, -113.9795721 51.0757591, -113.9798289 51.0757588, -113.9799926 51.0757586, -113.9802178 51.075759, -113.980358 51.0757593, -113.980515 51.0757591, -113.980664 51.075759, -113.9807908 51.0757592))",eeaee8e3-466f-4bef-8ef9-1132308ec7f5
R5212,SS,SS,Parallel,Active,3800 Block 26 AV NE,Collector,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NE,"MULTILINESTRING ((-113.9783848 51.077828, -113.9783972 51.0778281, -113.9784225 51.0778279, -113.9786407 51.0778268, -113.9788062 51.0778263, -113.9789999 51.0778259, -113.9791516 51.0778245, -113.9791641 51.0778244, -113.979309 51.0778219, -113.9794611 51.0778205, -113.9799773 51.0778044))",608be65f-8535-417d-b784-e7be298334f8
R5549,JJ,JJ,Parallel,Active,200 Block 18 AV NE,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NE,"MULTILINESTRING ((-114.0563147 51.0687627, -114.0563466 51.068763, -114.0574544 51.068761, -114.0575066 51.0687617, -114.0578278 51.0687611, -114.0580615 51.0687614, -114.0584835 51.0687615, -114.0590905 51.0687617, -114.0596393 51.0687618))",94eb255d-4c1b-497a-beeb-2280df625168
R5689,KI,KI,Parallel,Active,3600 Block 19 AV SW,Collector,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1385303 51.036211, -114.1386076 51.0362109, -114.1387682 51.0362108, -114.1390286 51.0362104))",cca0fbf9-73c5-45b4-9c8b-69ea804a0d36
R5698,KI,KI,Parallel,Active,3600 Block 21 AV SW,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1385056 51.0346603, -114.1390076 51.03466))",d99d866c-4b3b-42d4-ad13-c71e3d01e209
R5739,GGR,GGR,Parallel,Active,2900 Block DALLAIRE AV SW,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1252199 51.0029082, -114.1253703 51.0029175, -114.1255201 51.0029301))",e385b90e-64e7-49dc-a108-5393d289489d
R5798,E,E,Parallel,Active,3800 Block 24 ST NW,Residential Street,E,0700-1700 MON-FRI,,,60,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1179947 51.0856194, -114.1180141 51.085645, -114.1180362 51.0856681, -114.1180372 51.0856689, -114.1180393 51.0856704, -114.1180615 51.0856876, -114.1180919 51.0857076, -114.1181039 51.0857157, -114.1199413 51.0867777))",5841683f-2dd6-46e8-8ee0-df0900fe0191
R5806,E,E,Parallel,Active,2500 Block CHEROKEE DR NW,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1180342 51.0843403, -114.1180505 51.0843484, -114.1180861 51.0843574, -114.1181184 51.0843617, -114.1181532 51.084362, -114.118298 51.0843621, -114.1184113 51.0843619, -114.1185302 51.0843618, -114.1186395 51.0843614, -114.1187642 51.0843616, -114.118871 51.0843615, -114.1189868 51.0843616, -114.1190927 51.0843614, -114.1192304 51.0843613, -114.1193622 51.0843609, -114.1195212 51.0843604, -114.1195283 51.0843608, -114.1195353 51.0843612, -114.1195424 51.0843615, -114.1195495 51.0843619, -114.1195565 51.0843623, -114.1195649 51.0843631, -114.119573 51.0843645, -114.119581 51.0843664, -114.1195889 51.0843687))",ecdde7e9-e113-48d2-904b-51f32126f14a
R5807,E,E,Parallel,Active,2600 Block CHEROKEE DR NW,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1208887 51.0851131, -114.1215408 51.0854899))",7dfe2835-7984-4b8e-89f0-2145e0813bc5
